codigo,nome_do_curso,total_vagas,inscritos,cv,ano
656,medicina  bel  integral  ararangua,42.0,1812.0,43.14,2025
556,medicina  bel  integral  curitibanos,18.0,903.0,50.17,2025
103,medicina  bel  integral  florianopolis,70.0,4691.0,67.01,2025
552,medicina veterinaria  bel  integral  curitibanos,56.0,232.0,4.14,2025
230,meteorologia  bel  integral  florianopolis,21.0,8.0,0.38,2025
338,museologia  bel  integral  florianopolis,21.0,14.0,0.67,2025
9,nutricao  bel  integral  florianopolis,32.0,357.0,11.16,2025
333,oceanografia  bel  integral  florianopolis,21.0,61.0,2.9,2025
104,odontologia  bel  integral  florianopolis,70.0,450.0,6.43,2025
308,pedagogia  lic  vespertino  florianopolis,70.0,191.0,2.73,2025
319,psicologia  bellic  integral  florianopolis,63.0,970.0,15.4,2025
226,quimica  bel  integral  florianopolis,56.0,45.0,0.8,2025
757,quimica  bel  noturno  blumenau,35.0,26.0,0.74,2025
205,quimica  lic  integral  florianopolis,28.0,11.0,0.39,2025
752,quimica  lic  noturno  blumenau,35.0,9.0,0.26,2025
227,quimica tecnologica  bel  integral  florianopolis,28.0,7.0,0.25,2025
340,relacoes internacionais  bel  vesp  florianopolis,56.0,366.0,6.54,2025
429,secretariado executivo  bel  noturno  florianopolis,28.0,22.0,0.79,2025
339,servico social  bel  noturno  florianopolis,63.0,80.0,1.27,2025
238,sistemas de informacao  bel  noturno  florianopolis,70.0,452.0,6.46,2025
652,tec da info e comunicacao  bel  not  ararangua,42.0,93.0,2.21,2025
502,zootecnia  bel  integral  florianopolis,49.0,33.0,0.67,2025
