codigo,nome_do_curso,acertos_do_primeiro,acertos_do_ultimo,total_de_vagas,ano
428.0,letras  lingua portuguesa,81.11,44.91,40.0,2003
426.0,letras  lingua portuguesa  noturno,64.47,45.45,40.0,2003
419.0,letras  secretariado executivo ingles,72.25,49.39,40.0,2003
223.0,matematica  licenciatura  diurno,71.7,42.58,65.0,2003
224.0,matematica  licenciatura  noturno,72.83,41.29,40.0,2003
222.0,matematica e computacao cientifica,70.2,45.54,30.0,2003
103.0,medicina,97.89,85.6,100.0,2003
9.0,nutricao,78.55,65.32,40.0,2003
104.0,odontologia,90.08,69.24,90.0,2003
308.0,pedagogia,60.65,41.73,100.0,2003
319.0,psicologia,85.53,63.49,80.0,2003
217.0,quimica,84.7,48.8,80.0,2003
309.0,servico social  diurno,73.25,41.68,80.0,2003
339.0,servico social  noturno,66.32,42.09,60.0,2003
238.0,sistemas de informacao  noturno,80.71,62.04,100.0,2003
301.0,administracao  diurno,65.03,51.84,90.0,2004
316.0,administracao  noturno,75.75,49.3,90.0,2004
501.0,agronomia,63.55,44.88,90.0,2004
207.0,arquitetura e urbanismo,71.65,56.58,80.0,2004
324.0,biblioteconomia  noturno,60.54,33.88,80.0,2004
108.0,ciencias biologicas,69.13,58.83,60.0,2004
302.0,ciencias contabeis  diurno,63.1,41.03,80.0,2004
317.0,ciencias contabeis  noturno,61.86,43.21,80.0,2004
208.0,ciencias da computacao,70.55,53.34,100.0,2004
304.0,ciencias economicas  diurno,66.16,44.82,90.0,2004
318.0,ciencias economicas  noturno,63.68,42.43,90.0,2004
310.0,ciencias sociais  diurno,64.18,44.58,40.0,2004
320.0,ciencias sociais  noturno,65.58,43.92,40.0,2004
420.0,comunicacao e expressao visual,68.89,54.39,60.0,2004
303.0,direito  diurno,76.03,61.31,80.0,2004
5.0,direito  noturno,76.31,59.26,80.0,2004
404.0,educacao fisica,59.73,45.84,120.0,2004
101.0,enfermagem,61.24,47.24,70.0,2004
220.0,eng de controle e automacao industrial,81.47,65.97,60.0,2004
201.0,engenharia civil,67.97,54.76,100.0,2004
215.0,engenharia de alimentos,65.98,55.31,45.0,2004
234.0,engenharia de aquicultura,65.84,49.34,60.0,2004
233.0,engenharia de materiais,69.57,52.95,60.0,2004
212.0,engenharia de producao civil,68.91,54.65,35.0,2004
213.0,engenharia de producao eletrica,69.38,57.19,35.0,2004
214.0,engenharia de producao mecanica,72.91,61.08,35.0,2004
202.0,engenharia eletrica,79.01,59.45,100.0,2004
203.0,engenharia mecanica,73.52,61.59,100.0,2004
216.0,engenharia quimica,68.46,57.32,45.0,2004
211.0,engenharia sanitaria e ambiental,68.33,53.88,80.0,2004
102.0,farmacia,72.26,53.16,120.0,2004
329.0,filosofia  noturno,62.24,39.79,35.0,2004
328.0,filosofia  vespertinonoturno,64.37,33.9,35.0,2004
2.0,fisica  bacharelado  diurno,68.48,45.51,45.0,2004
225.0,fisica  licenciatura  noturno,61.47,37.63,65.0,2004
331.0,geografia  diurno,60.0,41.22,40.0,2004
332.0,geografia  noturno,56.19,45.06,40.0,2004
326.0,historia  diurno,64.1,46.05,45.0,2004
327.0,historia  noturno,61.9,46.27,45.0,2004
415.0,jornalismo,72.41,62.42,60.0,2004
421.0,letras  lingua alema  diurno,54.83,35.26,40.0,2004
423.0,letras  lingua espanhola,52.31,40.31,40.0,2004
424.0,letras  lingua francesa,53.06,38.35,40.0,2004
425.0,letras  lingua inglesa,60.93,44.79,40.0,2004
427.0,letras  lingua italiana,52.83,36.82,40.0,2004
428.0,letras  lingua portuguesa,64.16,42.26,40.0,2004
